datum;verein_kuerzel;dienst_typ;bereich_name;taetigkeit_name;von_zeit;bis_zeit;anzahl_personen;splittbar;admin_only;besonderheiten
2026-07-04;FFW;dienst;Kalte Speisen;Ausgabe (Salat & Sonder Speisen);18:00:00;22:00:00;1;0;0;Vorbereitung / Ausgabe  Salat
2026-07-04;GVE;dienst;Spülen;Tellerrückgabe;18:00:00;22:00:00;1;0;0;Helfen beim Spülen
2026-07-04;TVW;dienst;Getränke;Zapfen (Bier);18:00:00;22:00:00;1;0;0;Deko, Bestecke etc.
2026-07-04;SCJ;dienst;Spülen;Spülen (Gläser);18:00:00;22:00:00;1;0;0;Gläser Spülen
2026-07-04;SCJ;dienst;Spülen;Tellerrückgabe;18:00:00;22:00:00;1;0;0;Helfen beim Spülen
2026-07-04;TVW;dienst;Kasse;Bonkasse;18:00:00;22:00:00;1;0;0;Bonkasse
2026-07-04;GVE;dienst;Warme Speisen;Zubereitung (Grill);18:30:00;22:30:00;1;0;0;Reiningung nach Kassenschliessung
2026-07-04;FFW;dienst;Warme Speisen;Zubereitung (Pommes);19:00:00;22:00:00;1;0;0;Reiningung nach Kassenschliessung
2026-07-04;TVW;dienst;Spülen;Tellerrückgabe;19:00:00;23:00:00;1;0;0;Helfen beim Spülen
2026-07-04;SCJ;dienst;Spülen;Tellerrückgabe;19:00:00;23:00:00;1;0;0;Helfen beim Spülen
2026-07-04;SCJ;dienst;Warme Speisen;Ausgabe (Grill & Pommes);19:00:00;23:00:00;1;0;0;
2026-07-04;SCJ;dienst;Warme Speisen;Ausgabe (Grill & Pommes);19:00:00;23:00:00;1;0;0;
2026-07-04;FFW;dienst;Getränke;Getränkeausgabe (Wein & alkoholfrei);20:00:00;01:00:00;1;0;0;
2026-07-04;GVE;dienst;Getränke;Ausgabe (Bier);20:00:00;01:00:00;1;0;0;Zapfen nach Bedarf
2026-07-04;GVE;dienst;Spülen;Spülen (Gläser);20:00:00;00:00:00;1;0;0;Gläser Spülen
2026-07-04;SCJ;dienst;Getränke;Zapfen (Bier);21:00:00;01:00:00;1;0;0;Zapfen
2026-07-04;TVW;dienst;Getränke;Ausgabe (Bier);21:00:00;01:00:00;1;0;0;Ausgabe oder  Zapfer nach Bedarf
